session_id,scenario,ground_truth_label,rule_match,privilege_escalation_flag,security_process_killed,precursor_command_count,burst_seconds,burst_window_seconds,subscore_driver_reputation,subscore_privilege_escalation,subscore_process_kill,subscore_precursor_command,risk_score,sequence_alert,burst_score,burst_alert,alert,detection_reason,attack_start,detection_time,detection_delay_seconds
0046af7b-3644-436d-bc01-1af9848b983f,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.799634+00:00,2026-09-02T07:06:30.799634+00:00,0.0
009275c1-b42d-4d0d-bd9e-fc3373186a75,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.792916+00:00,2026-09-02T07:06:30.792916+00:00,0.0
00a01778-16b7-4311-bf7f-8245e81bb002,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.797785+00:00,2026-09-02T07:06:30.797785+00:00,0.0
00d95365-3350-4921-a764-e6ceb40ac889,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.799821+00:00,2026-09-02T07:06:30.799821+00:00,0.0
02875841-5f90-42f5-b585-ef71c9b5c1ea,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.793778+00:00,2026-09-02T07:06:30.793778+00:00,0.0
03f95bc4-0c93-4681-a797-19ac0f1c1066,benign_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.799165+00:00,,
047e005c-e0a1-47bc-8d4d-c5117ae3a062,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.799098+00:00,2026-09-02T07:06:30.799098+00:00,0.0
04eeed17-97d7-46e9-a6b4-e71da173d6a1,benign_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.794566+00:00,,
04facba2-c25a-40f0-87f4-103f42747e54,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.800152+00:00,2026-09-02T07:06:30.800152+00:00,0.0
0508c432-89d7-4eb7-9692-8305a9a135d5,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.795145+00:00,2026-09-02T07:06:30.795145+00:00,0.0
069bc5a5-86a5-4b13-9012-b066d49f21eb,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.796349+00:00,2026-09-02T07:06:30.796349+00:00,0.0
06a9c170-7b78-4b38-922f-04b540180d87,benign_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.800175+00:00,,
08865111-7cea-4a78-a2dc-87d1fbeecb65,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.798961+00:00,2026-09-02T07:06:30.798961+00:00,0.0
08950911-9371-4c5a-9d54-bd429ec21eb3,benign_driver_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.798219+00:00,,
08ed756a-cd39-4fae-916d-ae367d23a0e0,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.793702+00:00,2026-09-02T07:06:30.793702+00:00,0.0
097b1ec4-45e8-4b11-afd2-0e40eb672ace,benign_driver_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.792418+00:00,,
0b7931c4-0ce4-4019-82ae-0784c04e6959,benign_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.795030+00:00,,
0bc00d7b-1bb0-480d-b2fd-7b3b8c46abd2,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.794212+00:00,2026-09-02T07:06:30.794212+00:00,0.0
0c8ab834-1076-4323-bf78-4b32887ed78f,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.796604+00:00,2026-09-02T07:06:30.796604+00:00,0.0
0cedcdfd-bb1e-46eb-a307-7a1ab48e91cb,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.792523+00:00,2026-09-02T07:06:30.792523+00:00,0.0
0da3791c-7a59-43b4-89b4-4fbdd62331b5,benign_driver_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.792574+00:00,,
0df36de9-e1a4-47b5-8c22-c464ec798f37,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.796529+00:00,2026-09-02T07:06:30.796529+00:00,0.0
0e3b8ec6-9da6-4752-9a68-8408bc7a3837,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.794350+00:00,2026-09-02T07:06:30.794350+00:00,0.0
10da57bd-c1e4-438f-9cfc-47894ffe0f46,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.796448+00:00,2026-09-02T07:06:30.796448+00:00,0.0
114b82b1-bbc9-41b2-a6f5-8be15e2e7093,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.797607+00:00,2026-09-02T07:06:30.797607+00:00,0.0
117aa2fc-0258-4df4-ac4d-6eff6dfa21a5,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.796186+00:00,2026-09-02T07:06:30.796186+00:00,0.0
11c0206c-ab04-492c-8898-e964bbe76e55,benign_driver_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.795403+00:00,,
11efb4b0-8ffb-4a5e-bd22-5378b43ea463,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.798739+00:00,2026-09-02T07:06:30.798739+00:00,0.0
