session_id,label,scenario,rule_match,privilege_escalation_flag,security_process_killed,driver_load_present,time_since_driver_load,driver_load_time,privilege_escalation_time,security_process_kill_time,burst_seconds,precursor_command_count,session_start,session_end,ground_truth_label,risk_score,alert,sequence_alert,burst_score,burst_alert
0046af7b-3644-436d-bc01-1af9848b983f,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.799634+00:00,2026-09-02T07:06:38.799634+00:00,2026-09-02T07:06:55.799634+00:00,25.0,1,2026-09-02 07:06:30.799634+00:00,2026-09-02 07:07:20.799634+00:00,attack,1.0,True,False,0.0,False
009275c1-b42d-4d0d-bd9e-fc3373186a75,attack,delayed_attack,True,1,1,1,45.0,2026-09-02T07:06:30.792916+00:00,2026-09-02T07:06:50.792916+00:00,2026-09-02T07:07:15.792916+00:00,45.0,1,2026-09-02 07:06:30.792916+00:00,2026-09-02 07:07:40.792916+00:00,attack,1.0,True,False,0.0,False
00a01778-16b7-4311-bf7f-8245e81bb002,attack,delayed_attack,True,1,1,1,45.0,2026-09-02T07:06:30.797785+00:00,2026-09-02T07:06:50.797785+00:00,2026-09-02T07:07:15.797785+00:00,45.0,1,2026-09-02 07:06:30.797785+00:00,2026-09-02 07:07:40.797785+00:00,attack,1.0,True,False,0.0,False
00d95365-3350-4921-a764-e6ceb40ac889,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.799821+00:00,2026-09-02T07:06:38.799821+00:00,2026-09-02T07:06:55.799821+00:00,25.0,1,2026-09-02 07:06:30.799821+00:00,2026-09-02 07:07:20.799821+00:00,attack,1.0,True,False,0.0,False
02875841-5f90-42f5-b585-ef71c9b5c1ea,attack,collapsed_attack,True,1,1,1,4.0,2026-09-02T07:06:30.793778+00:00,2026-09-02T07:06:31.793778+00:00,2026-09-02T07:06:34.793778+00:00,4.0,1,2026-09-02 07:06:30.793778+00:00,2026-09-02 07:06:36.793778+00:00,attack,1.0,True,False,0.0,False
03f95bc4-0c93-4681-a797-19ac0f1c1066,benign,benign_admin,False,1,0,1,0.0,2026-09-02T07:06:30.799165+00:00,2026-09-02T07:06:40.799165+00:00,,,0,2026-09-02 07:06:30.799165+00:00,2026-09-02 07:07:30.799165+00:00,benign,0.0,False,False,0.0,False
047e005c-e0a1-47bc-8d4d-c5117ae3a062,attack,unknown_driver_attack,False,1,1,1,4.0,2026-09-02T07:06:30.799098+00:00,2026-09-02T07:06:31.799098+00:00,2026-09-02T07:06:34.799098+00:00,4.0,1,2026-09-02 07:06:30.799098+00:00,2026-09-02 07:06:36.799098+00:00,attack,1.0,True,False,0.0,False
04eeed17-97d7-46e9-a6b4-e71da173d6a1,benign,benign_admin,False,1,0,1,0.0,2026-09-02T07:06:30.794566+00:00,2026-09-02T07:06:40.794566+00:00,,,0,2026-09-02 07:06:30.794566+00:00,2026-09-02 07:07:30.794566+00:00,benign,0.0,False,False,0.0,False
04facba2-c25a-40f0-87f4-103f42747e54,attack,collapsed_attack,True,1,1,1,4.0,2026-09-02T07:06:30.800152+00:00,2026-09-02T07:06:31.800152+00:00,2026-09-02T07:06:34.800152+00:00,4.0,1,2026-09-02 07:06:30.800152+00:00,2026-09-02 07:06:36.800152+00:00,attack,1.0,True,False,0.0,False
0508c432-89d7-4eb7-9692-8305a9a135d5,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.795145+00:00,2026-09-02T07:06:38.795145+00:00,2026-09-02T07:06:55.795145+00:00,25.0,1,2026-09-02 07:06:30.795145+00:00,2026-09-02 07:07:20.795145+00:00,attack,1.0,True,False,0.0,False
069bc5a5-86a5-4b13-9012-b066d49f21eb,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.796349+00:00,2026-09-02T07:06:38.796349+00:00,2026-09-02T07:06:55.796349+00:00,25.0,1,2026-09-02 07:06:30.796349+00:00,2026-09-02 07:07:20.796349+00:00,attack,1.0,True,False,0.0,False
