session_id,label,scenario,rule_match,privilege_escalation_flag,security_process_killed,driver_load_present,time_since_driver_load,driver_load_time,privilege_escalation_time,security_process_kill_time,burst_seconds,precursor_command_count,session_start,session_end,ground_truth_label,risk_score,alert,sequence_alert,burst_score,burst_alert
000bab15-d127-4a1b-a3d1-4b72c95ea289,attack,partial_attack,True,1,0,1,0.0,2026-09-02T07:06:30.724471+00:00,2026-09-02T07:06:32.724471+00:00,,,1,2026-09-02 07:06:30.724471+00:00,2026-09-02 07:06:35.724471+00:00,attack,1.0,True,False,0.0,False
0011ee99-74fb-4334-89f5-6661d1de7d0f,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.721369+00:00,2026-09-02T07:06:38.721369+00:00,2026-09-02T07:06:55.721369+00:00,25.0,1,2026-09-02 07:06:30.721369+00:00,2026-09-02 07:07:20.721369+00:00,attack,1.0,True,False,0.0,False
0029511c-1afc-4b96-b178-203111e75eb2,attack,delayed_attack,True,1,1,1,45.0,2026-09-02T07:06:30.735429+00:00,2026-09-02T07:06:50.735429+00:00,2026-09-02T07:07:15.735429+00:00,45.0,1,2026-09-02 07:06:30.735429+00:00,2026-09-02 07:07:40.735429+00:00,attack,1.0,True,False,0.0,False
0037472b-8334-4c7a-aa36-3949ac7b462b,attack,unknown_driver_attack,False,1,1,1,4.0,2026-09-02T07:06:30.714769+00:00,2026-09-02T07:06:31.714769+00:00,2026-09-02T07:06:34.714769+00:00,4.0,1,2026-09-02 07:06:30.714769+00:00,2026-09-02 07:06:36.714769+00:00,attack,1.0,True,False,0.0,False
0053cfcd-d9b0-4ed7-afbc-9da8b31aee09,attack,classic_attack,True,1,1,1,25.0,2026-09-02T07:06:30.717448+00:00,2026-09-02T07:06:38.717448+00:00,2026-09-02T07:06:55.717448+00:00,25.0,1,2026-09-02 07:06:30.717448+00:00,2026-09-02 07:07:20.717448+00:00,attack,1.0,True,False,0.0,False
00f63f61-d174-4e21-a173-7fc8492277e9,benign,benign_admin,False,1,0,1,0.0,2026-09-02T07:06:30.728251+00:00,2026-09-02T07:06:40.728251+00:00,,,0,2026-09-02 07:06:30.728251+00:00,2026-09-02 07:07:23.728251+00:00,benign,0.0,False,False,0.0,False
01009597-268b-4e23-bb0c-1998d76e5a31,attack,unknown_driver_attack,False,1,1,1,4.0,2026-09-02T07:06:30.737993+00:00,2026-09-02T07:06:31.737993+00:00,2026-09-02T07:06:34.737993+00:00,4.0,1,2026-09-02 07:06:30.737993+00:00,2026-09-02 07:06:36.737993+00:00,attack,1.0,True,False,0.0,False
015f239e-d3f4-46cb-a3d5-9a7cf3886c1d,attack,collapsed_attack,True,1,1,1,4.0,2026-09-02T07:06:30.717470+00:00,2026-09-02T07:06:31.717470+00:00,2026-09-02T07:06:34.717470+00:00,4.0,1,2026-09-02 07:06:30.717470+00:00,2026-09-02 07:06:36.717470+00:00,attack,1.0,True,False,0.0,False
0193903a-fee9-4e40-a30f-069f44f33d18,attack,delayed_attack,True,1,1,1,45.0,2026-09-02T07:06:30.726141+00:00,2026-09-02T07:06:50.726141+00:00,2026-09-02T07:07:15.726141+00:00,45.0,1,2026-09-02 07:06:30.726141+00:00,2026-09-02 07:07:40.726141+00:00,attack,1.0,True,False,0.0,False
02655152-6ee3-490e-aca2-65405dc9925e,attack,collapsed_attack,True,1,1,1,4.0,2026-09-02T07:06:30.716577+00:00,2026-09-02T07:06:31.716577+00:00,2026-09-02T07:06:34.716577+00:00,4.0,1,2026-09-02 07:06:30.716577+00:00,2026-09-02 07:06:36.716577+00:00,attack,1.0,True,False,0.0,False
